[2026/04/27 15:53:49] 自動運行 | 地圖: 學校 大門 | 自我介紹
[2026/04/27 15:53:49] 點擊 | 地圖: 學校 大門 | 自我介紹2
[2026/04/27 15:53:51] 點擊 | 地圖: 學校 大門 | 系統1
[2026/04/27 15:53:52] 點擊 | 地圖: 學校 大門 | 系統2
[2026/04/27 15:53:52] 點擊 | 地圖: 學校 大門 | 系統3
[2026/04/27 15:53:54] 教學 | 地圖: 學校 大門 | 移動完成
[2026/04/27 15:53:54] 點擊 | 地圖: 學校 大門 | 系統4
[2026/04/27 15:54:25] 教學 | 地圖: 學校 大門 | 互動完成
[2026/04/27 15:54:25] 點擊 | 地圖: 學校 大門 | 警衛1
[2026/04/27 15:54:26] 點擊 | 地圖: 學校 大門 | 警衛2
[2026/04/27 15:54:26] 點擊 | 地圖: 學校 大門 | 警衛3
[2026/04/27 15:54:29] 場所移動 | 地圖: 學校 大門 | 圖書館
[2026/04/27 15:54:29] 進入地圖 | 地圖: 圖書館(new)
[2026/04/27 15:54:30] 自動運行 | 地圖: 圖書館(new) | 找資料1
[2026/04/27 15:54:31] 自動運行 | 地圖: 圖書館(new) | 找資料2
[2026/04/27 15:54:32] 進入第一關 | 地圖: 圖書館(new)
[2026/04/27 15:54:32] 自動運行 | 地圖: 圖書館(new) | 找到資料1
[2026/04/27 15:54:33] 自動運行 | 地圖: 圖書館(new) | 找到資料2
[2026/04/27 15:54:33] 自動運行 | 地圖: 圖書館(new) | 找到資料3
[2026/04/27 15:54:33] 自動運行 | 地圖: 圖書館(new) | 找到資料4
[2026/04/27 15:54:33] 自動運行 | 地圖: 圖書館(new) | 找到資料5
[2026/04/27 15:54:34] 自動運行 | 地圖: 圖書館(new) | 找到資料6
[2026/04/27 15:54:34] 自動運行 | 地圖: 圖書館(new) | 找到資料7
[2026/04/27 15:54:34] 自動運行 | 地圖: 圖書館(new) | 找到資料8
[2026/04/27 15:54:34] 場所移動 | 地圖: 圖書館(new) | 台江內海
[2026/04/27 15:54:35] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 15:54:36] 自動運行 | 地圖: 荷蘭時代的台江內海 | 困惑在圖書館
[2026/04/27 15:54:39] 觸發 | 地圖: 荷蘭時代的台江內海 | 那邊吵架
[2026/04/27 15:54:39] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣1
[2026/04/27 15:54:40] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣2
[2026/04/27 15:54:40] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣3
[2026/04/27 15:54:40] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣4
[2026/04/27 15:54:41] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣5
[2026/04/27 15:54:41] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣6
[2026/04/27 15:54:41] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣7
[2026/04/27 15:54:41] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣8
[2026/04/27 15:54:42] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣9
[2026/04/27 15:54:42] 並行 | 地圖: 荷蘭時代的台江內海 | 士兵氣氣10
[2026/04/27 15:54:44] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁1
[2026/04/27 15:54:44] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁2
